run_id,epoch,train_loss,rmse,mae,r2,r2_log,accuracy_pct,strict_accuracy_pct,lr
20260305_122253,10,0.290966,79.6713,35.1955,0.157550,0.090861,60.00,49.09,0.00079410
20260305_122253,20,0.226428,66.8744,30.5317,0.406446,0.284061,63.64,53.33,0.00029734
20260305_122253,30,0.204268,56.2961,27.4089,0.579373,0.274517,63.64,52.12,0.00000374
20260305_122253,40,0.190267,53.0181,25.0746,0.626931,0.405081,66.06,52.12,0.00094556
20260305_122253,50,0.135714,74.0792,31.7348,0.271661,0.424036,65.45,51.52,0.00077255
20260305_122253,60,0.104833,79.9337,31.8468,0.151991,0.411837,64.85,53.94,0.00052664
20260305_122253,70,0.083927,91.9596,32.4505,-0.122367,0.367242,66.06,55.76,0.00027373
20260305_122253,80,0.070511,90.1895,33.5609,-0.079574,0.362866,67.27,56.97,0.00008158
20260305_122253,90,0.065399,89.2598,32.9721,-0.057432,0.356947,66.67,56.97,0.00000168
